property_code,unit_number,notice_sent_date,expected_work_date,tenant_first_name,tenant_last_name,failure_reasons
patriot,401,1/14/2026,,,,grease on stove / counter tops;
patriot,402,1/14/2026,,,,dirty dishes; grease on stove / counter tops; excess rubbish / clutter in unit;
patriot,404,1/14/2026,,,,grease on stove / counter tops;
patriot,405,1/14/2026,,,,dirty dishes;
patriot,408,1/14/2026,,,,dirty dishes;
patriot,306,1/14/2026,,,,dirty dishes;
patriot,311,1/14/2026,,,,dirty dishes; open foods; dirty laundry; grease on stove / counter tops;
patriot,305,1/14/2026,,,,grease on stove / counter tops;
patriot,204,1/14/2026,,,,dirty dishes;
patriot,206,1/14/2026,,,,grease on stove / counter tops;
patriot,402,2/11/2026,,,,dirty dishes; open foods; stored / stacked articles; rubbish not in container; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops; excess rubbish / clutter in unit;
patriot,310,2/11/2026,,,,dirty dishes; dirty laundry; rubbish not in container; grease on stove / counter tops;
patriot,311,2/11/2026,,,,dirty dishes; dirty laundry; sticky / dirty floors; grease on stove / counter tops;
patriot,407,3/11/2026,,,,grease on stove/ counter tops;
patriot,406,3/11/2026,,,,dirty dishes;
patriot,412,3/11/2026,,,,dirty dishes;
patriot,404,3/11/2026,,,,dirty dishes;
patriot,403,3/11/2026,,,,grease on stove/counter tops;
patriot,302,3/11/2026,,,,grease on stove/counter tops;
patriot,305,3/11/2026,,,,dirty dishes; grease on stove/ counter tops;
patriot,207,3/11/2026,,,,grease on stove / counter tops;
patriot,208,3/11/2026,,,,open foods; dirty laundry; grease/food on floors/walls;excess rubbish / clutter in unit;
patriot,205,3/11/2026,,,,dirty dishes;
patriot,203,3/11/2026,,,,dirty dishes;
900her,408,3/26/2026,,,,dirty dishes; open foods; excess rubbish / clutter in unit; dirty laundry; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops; rubbish not in container;
900her,402,3/26/2026,,,,dirty dishes; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops;
900her,220,3/26/2026,,,,dirty dishes; dirty laundry; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops;
900her,112,3/26/2026,,,,dirty dishes; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops;
amwell,133,3/26/2026,,,,dirty dishes; open foods; grease / food on floors walls; sticky / dirty floors; grease on stove / counter tops;
patriot,405,4/8/2026,,,,dirty dishes; stored / stacked articles; grease / food on floors / walls; excess rubbish / clutter in unit;
patriot,402,4/8/2026,,,,stored / stacked articles; grease / food on floors / walls; excess rubbish / clutter in unit;
patriot,401,4/8/2026,,,,rubbish not in container; grease / food on floors / walls;
patriot,305,4/8/2026,,,,dirty dishes; dirty laundry; stored / stacked articles; grease on stove / counter tops; excess rubbish / clutter in unit;
patriot,311,4/8/2026,,,,dirty dishes; rubbish not in container;
patriot,208,4/8/2026,,,,dirty dishes; open foods; dirty laundry; stored / stacked articles; rubbish not in container; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops; excess rubbish / clutter in unit;
patriot,204,4/8/2026,,,,dirty dishes; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops;
patvlg2,403,5/27/2026,,,,dirty dishes;
patvlg2,407,5/27/2026,,,,dirty dishes; rubbish not in container; grease on stove / counter tops;
patvlg2,313,5/27/2026,,,,dirty dishes; rubbish not in container;
patvlg2,205,5/27/2026,,,,grease on stove / counter tops;
patvlg2,206,5/27/2026,,,,dirty dishes; open foods; rubbish not in container; grease on stove / counter tops;
patvlg2,203,5/27/2026,,,,dirty dishes; grease on stove / counter tops;
patvlg2,219,5/27/2026,,,,dirty dishes; grease on stove / counter tops;
patvlg2,115,5/27/2026,,,,dirty dishes; rubbish not in container; grease on stove / counter tops;
patvlg2,105,5/27/2026,,,,dirty dishes; rubbish not in container; grease on stove / counter tops;
amwell,173,5/28/2026,,,,dirty dishes; open foods; rubbish not in container; grease / food on floors / walls; sticky / dirty floors; grease on stove / counter tops;
amwell,142,5/28/2026,,,,dirty dishes; sticky / dirty / floors
patriot,402,6/22/2026,,,,dirty dishes; grease on stove / counter tops; excess rubbish / clutter in unit;
patriot,405,6/22/2026,,,,dirty dishes; grease/food on floors/walls; excess rubbish / clutter in unit;
patriot,407,6/22/2026,,,,dirty dishes; grease on stove / counter tops;
patriot,103,6/22/2026,,,,dirty dishes;
